,CL7R,CT2BIN,CL2R,CL5R,CL1R,DEMOC,MOD,CON,WWWWHITE,FEMALE,COLGRD,SOMCOL,W12WHITE,CL9R,REPUB,INDEP,COMHS,AGE65PLM,CL8R,W2TOTCL,BABS,CD4A_A,PTYID3,CD4A_B,AGE4049M,W12EDUC3,WWWBLACK,AGE5059M,LIB,STRATA,VPROUD,AGE3039,IDEO3,COMPLET2,DOG4R,W1TRUAM2,CT1A,WWWHOMLN,CD7_A,ADVDEG,CENSDIV,INCA,W2CIVLIB,EDUCAT4,CL7,GT2,AGE1829,PROUD,CL2,AGE6064M,CL5,CL10R,INCOME,CL4A,WWWAGEC1,FIP2,CL6B,P17_A,W1STATE,WWWEDU3,WWWEDU5,MEANFR,CL9,FIP1,W12HISP,CL1,WWWHISP,SEC4,CL8,B1,LOPROU,RAC3,W12RACE4,CD8,WWWAGE,W2SECURE,CD6,WWWRACE4,CLPROP,MNDOG,POLINT,WWWRACE3,NEWRACE,LTHS,V1_B,B2,IWER3,FIPCOM,DOG2R,USAWT2RC,WWWBRNUS,DOG6R,RI2_A,DOG3R,DOG5R,DOG1R,DG2,CL10,DG3,CD5A,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1039,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1.0,1.0,-1.0,-0.29032258064516125,-1.0,-1.0,0.3333333333333335,0.7142857142857144,-1.0,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,-0.25,0.5,-0.33333333333333326,0.5,-1.0,-0.1428571428571428,0.09090909090909083,0.0,0.0,-0.06666666666666665,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.6363636363636362,-1.0,-1.0,-0.9999999999999999,0.41666666666675,-0.08333333333334991,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-0.5,-1.0,-1.0,1.0,-0.25,-0.9999999999999999,-0.25,0.0,0.5,-0.1428571428571428,0.33333333333333326,-0.75,1.0,0,0,0,0,0,0,0
1242,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1.0,-0.75,1.0,0.9999999999999998,-1.0,-1.0,1.0,-0.9999999999999999,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,0.75,-1.0,0.33333333333333326,-1.0,0.5,-0.1428571428571428,0.8909090909090909,1.0,1.0,-0.7333333333333333,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.06060606060606055,-1.0,-0.7777777777777778,-0.9999999999999999,0.41666666666675,-0.75,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.25,1.0,0,0,0,0,0,0,0
2345,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,0.3333333333333335,-1.0,-0.75,-1.0,0.41935483870967727,0.0,0.4545454545454546,-0.9999999999999999,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,-0.5,0.5,0.9999999999999998,0.0,0.0,0.7142857142857144,0.709090909090909,-1.0,-1.0,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,0.0,-0.33333333333333326,1.0000000000000004,0.666666666666667,-0.2727272727272727,-0.7777777777777778,-0.33333333333333326,0.5,0.0,0.3333333333333335,0,0.0,1.0,-1.0,-0.9999999999999999,1.0,0.0,-1.0,-1.0,1.0,0.0,-0.9999999999999999,-0.75,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.5,1.0,0,0,0,0,0,0,0
1667,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,0.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-0.29032258064516125,-1.0,0.09090909090909105,1.0,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,0.75,0.0,0.33333333333333326,-1.0,0.5,-0.1428571428571428,0.018181818181818077,1.0,1.0,-0.8666666666666666,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.030303030303030498,0.09090909090909105,0.33333333333333326,-0.9999999999999999,0.0,-0.75,-0.33333333333333326,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-0.75,-0.5,-0.5,-0.1428571428571428,0.33333333333333326,-0.5,1.0,1,0,1,1,1,1,1
682,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1.0,0.75,1.0,-0.29032258064516125,-1.0,1.0000000000000002,1.0,0.7142857142857144,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,-0.25,0.0,-0.33333333333333326,-1.0,0.5,-0.1428571428571428,0.018181818181818077,1.0,1.0,0.06666666666666687,0.1428571428571428,0.7142857142857144,-1.0,-0.9999999999999999,-1,-0.5,0.1428571428571428,0.0,1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.5757575757575757,-0.8181818181818181,-0.11111111111111116,-0.9999999999999999,0.6944444444444999,-0.58333333333335,0.3333333333333335,-1,-1.0,-1.0,-0.75,0.1428571428571428,-1.0,0.5,-1.0,-0.6863574838807249,1.0,-0.75,-0.9999999999999999,-0.75,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.5,1.0,0,0,1,1,1,1,1
1069,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,1.0,-1.0,-0.75,-1.0,0.29032258064516125,0.0,-1.0,-0.9999999999999999,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,0.0,0.9999999999999998,0.0,-1.0,1.0,-0.6000000000000001,-1.0,-1.0,-0.06666666666666665,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,0.20000000000000018,0.7575757575757578,-1.0,-0.11111111111111116,-0.9999999999999999,0.13888888888899986,0.5833333333333499,0.3333333333333335,-1,-1.0,1.0,-1.0,-0.9999999999999999,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.1428571428571428,-0.5,1.0,0.5,1.0,0.33333333333333326,0.75,1.0,0,0,0,0,0,0,0
1314,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.75,0.6000000000000001,0.3333333333333335,-1.0,-0.75,1.0,-0.3548387096774195,-1.0,0.2727272727272727,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.75,0.5,0.33333333333333326,-1.0,0.5,-0.9999999999999999,-0.38181818181818183,1.0,1.0,0.6000000000000001,-0.9999999999999999,0.1428571428571428,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.06060606060606055,-0.09090909090909083,-0.11111111111111116,-0.9999999999999999,-0.13888888888899986,-0.08333333333334991,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,0.5,-0.4571321411555024,1.0,-1.0,-0.9999999999999999,-0.25,-1.0,1.0,-0.7142857142857142,0.33333333333333326,-0.75,1.0,1,0,1,1,1,1,1
192,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.25,1.0,1.0,1.0,0.75,-1.0,0.9999999999999998,0.0,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,-0.75,0.75,0.9999999999999998,0.0,0.75,0.7142857142857144,-0.8181818181818182,-1.0,-1.0,0.06666666666666687,0.1428571428571428,0.1428571428571428,1.0,0.1428571428571428,1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,0.3333333333333335,-0.9999999999999999,0.6363636363636367,-1.0,-0.7777777777777778,0.3333333333333335,0.41666666666675,0.3333333333333499,0.3333333333333335,-1,-1.0,1.0,-0.75,-0.9999999999999999,-1.0,-1.0,0.5,-1.0,-1.0,-0.25,-0.9999999999999999,-0.75,0.5,0.5,-0.7142857142857142,0.33333333333333326,-0.5,-1.0,0,0,0,0,0,0,0
1239,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,0.3333333333333335,-1.0,-0.75,-1.0,-0.29032258064516125,0.0,-1.0,-0.33333333333333326,-0.9999999999999999,0.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.75,0.0,0.9999999999999998,-1.0,0.5,-0.9999999999999999,-0.3090909090909091,0.0,-0.5,-0.19999999999999973,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,0.20000000000000018,0.9393939393939394,-1.0,-0.7777777777777778,-0.9999999999999999,0.13888888888899986,0.75,1.0,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,1.0,-1.0,1.0,0.0,0.1428571428571428,0.0,-0.5,1.0,-0.9999999999999999,0.33333333333333326,-1.0,1.0,0,0,0,0,0,0,0
270,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-0.75,0.6000000000000001,1.0,-1.0,0.75,-1.0,0.29032258064516125,0.0,-1.0,-0.33333333333333326,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.5,0.5,0.0,-1.0,0.5,-0.1428571428571428,-0.1636363636363637,0.0,-0.5,0.3333333333333335,0.1428571428571428,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,0.0,-0.33333333333333326,-0.5999999999999999,-0.2424242424242422,-1.0,-0.11111111111111116,-0.33333333333333326,0.41666666666675,0.1666666666666501,0.3333333333333335,0,0.0,-1.0,-0.75,-0.9999999999999999,1.0,0.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,-0.25,-0.5,0.5,-0.7142857142857142,0.33333333333333326,-0.75,1.0,0,0,0,0,0,0,0
1182,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,0.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-0.75,-0.19999999999999996,-0.33333333333333326,-1.0,0.0,-1.0,0.9354838709677418,0.0,0.4545454545454546,1.0,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,-0.5,0.5,0.9999999999999998,-1.0,0.5,-0.1428571428571428,0.9999999999999998,1.0,0.5,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.6969696969696972,-0.2727272727272727,-0.11111111111111116,-0.9999999999999999,-0.13888888888899986,0.0,1.0,-1,-1.0,-1.0,-0.75,-0.9999999999999999,1.0,1.0,0.5,-0.5407552746299201,1.0,-0.25,-0.9999999999999999,-0.75,0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.5,1.0,1,0,1,1,0,1,1
658,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,-1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,0.75,-1.0,0.9354838709677418,-1.0,0.6363636363636365,1.0,-0.9999999999999999,0.0,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,-0.25,-1.0,-0.33333333333333326,0.0,0.5,-0.9999999999999999,0.7454545454545454,1.0,0.5,-0.06666666666666665,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.45454545454545436,-0.4545454545454545,-0.11111111111111116,-0.9999999999999999,0.41666666666675,-0.25,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,0.5,-0.41763711520062985,1.0,-0.75,-0.9999999999999999,-0.75,0.5,-0.5,-0.7142857142857142,0.33333333333333326,-0.5,1.0,1,0,1,1,1,1,1
1658,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,0.0,-1.0,-0.3548387096774195,-1.0,-0.2727272727272727,0.3333333333333335,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,-1.0,1.0,0.75,0.5,0.6666666666666667,-1.0,0.5,-0.1428571428571428,0.38181818181818183,0.0,0.0,-0.33333333333333326,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.3030303030303032,0.4545454545454546,-0.7777777777777778,-0.9999999999999999,-0.5,0.5833333333333499,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-0.25,-0.9999999999999999,0.0,1.0,1.0,-0.9999999999999999,0.33333333333333326,-1.0,1.0,1,0,0,1,1,0,0
1005,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,-1.0,0.0,1.0,-1.0,1.0,-1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.20000000000000018,-0.9999999999999999,-1.0,0.0,-1.0,-0.935483870967742,-1.0,-0.09090909090909083,1.0,-0.9999999999999999,0.75,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,1.0,-0.25,0.5,0.33333333333333326,-1.0,0.5,0.7142857142857144,0.2727272727272727,1.0,0.5,0.06666666666666687,-0.9999999999999999,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.5999999999999999,-0.06060606060606055,0.2727272727272727,1.0,-0.9999999999999999,0.13888888888899986,-0.4166666666666501,0.3333333333333335,-1,-1.0,-1.0,-0.75,-0.9999999999999999,1.0,1.0,-1.0,-0.8717504209858761,1.0,0.0,-0.9999999999999999,-1.0,-1.0,0.5,-0.1428571428571428,0.33333333333333326,-0.25,1.0,1,0,1,1,1,1,1
106,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,0.0,1.0,-1.0,-1.0,-1,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,0.0,-1.0,0.41935483870967727,0.0,-0.09090909090909083,-0.33333333333333326,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.75,-1.0,0.33333333333333326,-1.0,-1.0,1.0,0.709090909090909,0.0,-0.5,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,1.0,1.0,0.20000000000000018,0.12121212121212133,0.2727272727272727,0.11111111111111116,1.0,-0.13888888888899986,0.0,-0.33333333333333326,1,1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,1.0,-0.947879213802592,1.0,0.0,-0.9999999999999999,-0.75,-1.0,0.5,-0.9999999999999999,0.33333333333333326,-0.5,1.0,1,0,0,0,0,0,0
1089,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,0.75,-1.0,0.29032258064516125,-1.0,-1.0,0.3333333333333335,-0.9999999999999999,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.0,0.5,-0.33333333333333326,-1.0,0.5,0.7142857142857144,0.8181818181818181,0.0,0.0,0.06666666666666687,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000004,-0.48484848484848464,-1.0,-0.11111111111111116,-0.9999999999999999,0.13888888888899986,-0.08333333333334991,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,-0.75,-1.0,1.0,-0.7142857142857142,0.33333333333333326,-0.5,1.0,0,0,0,0,0,0,0
1663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-0.75,-1.0,0.29032258064516125,-1.0,-0.09090909090909083,-0.33333333333333326,0.1428571428571428,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.5,0.0,0.9999999999999998,-1.0,0.5,0.7142857142857144,0.5999999999999999,0.0,-0.5,-0.19999999999999973,-0.9999999999999999,-0.9999999999999999,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,0.20000000000000018,0.666666666666667,0.2727272727272727,-0.11111111111111116,-0.9999999999999999,-0.25,0.1666666666666501,-0.33333333333333326,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-0.25,-0.9999999999999999,-1.0,0.5,1.0,-0.9999999999999999,0.33333333333333326,-0.25,1.0,0,0,0,1,1,0,0
1406,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.25,0.6000000000000001,0.3333333333333335,-1.0,-0.75,-1.0,-0.3548387096774195,0.0,-1.0,0.3333333333333335,1.0,0.0,1.0,1.0,-0.9999999999999999,-1.0,0.33333333333333326,-1.0,-1.0,0.75,-1.0,0.0,-1.0,-0.1428571428571428,-0.38181818181818183,0.0,0.0,0.3333333333333335,-0.9999999999999999,0.1428571428571428,-1.0,0.1428571428571428,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,1.0000000000000004,-0.909090909090909,-1.0,-0.11111111111111116,-0.9999999999999999,0.13888888888899986,0.3333333333333499,-0.33333333333333326,-1,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.5,-1.0,1.0,0.0,-0.9999999999999999,-0.25,-0.5,1.0,-0.4285714285714285,-1.0,-0.75,1.0,0,0,0,0,0,0,0
706,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.6000000000000001,1.0,-1.0,0.0,-1.0,0.41935483870967727,-1.0,-1.0,0.3333333333333335,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,-1.0,0.5,-1.0,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,0.4181818181818182,0.0,0.0,-0.8666666666666666,-0.9999999999999999,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.5,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,-0.6363636363636362,-1.0,-0.11111111111111116,-0.9999999999999999,-0.6944444444444999,0.5,-0.33333333333333326,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,0.0,0.5,-1.0,1.0,-0.25,-0.9999999999999999,-0.75,1.0,0.5,-0.7142857142857142,-1.0,-0.5,1.0,0,0,0,0,0,0,0
2940,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,1.0,1,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.75,-1.0,-0.3548387096774195,-1.0,0.2727272727272727,1.0,-0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,0.75,0.5,-0.6666666666666666,0.0,0.5,0.7142857142857144,-0.09090909090909094,1.0,0.5,-0.19999999999999973,0.1428571428571428,0.1428571428571428,-1.0,-0.9999999999999999,-1,-0.5,0.1428571428571428,-1.0,-1.0,0.0,-0.33333333333333326,-0.9999999999999999,-0.7272727272727272,-0.09090909090909083,0.33333333333333326,-0.33333333333333326,0.25,-0.75,-0.33333333333333326,0,0.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,0.5,-1.0,-0.1428571428571428,0.33333333333333326,-0.25,1.0,1,0,0,0,0,0,0
1910,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.3548387096774195,-1.0,0.4545454545454546,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.33333333333333326,1.0,0.75,0.0,0.33333333333333326,-1.0,0.5,-0.1428571428571428,-0.09090909090909094,0.0,0.0,-0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.09090909090909105,-0.2727272727272727,-0.11111111111111116,-0.9999999999999999,0.5,-0.83333333333335,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,1.0,1.0,-0.5,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,-0.5,-1.0,-0.4285714285714285,0.33333333333333326,-0.25,1.0,0,0,1,1,1,1,1
1037,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,-0.75,-1.0,-0.3548387096774195,-1.0,-1.0,1.0,-0.9999999999999999,0.0,-1.0,-1.0,0.1428571428571428,-1.0,0.33333333333333326,1.0,-0.25,0.5,0.33333333333333326,0.0,0.5,-0.1428571428571428,-0.38181818181818183,1.0,0.5,0.19999999999999996,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,-1,-0.75,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.12121212121212133,-1.0,-0.11111111111111116,-0.9999999999999999,0.6944444444444999,-0.3333333333333499,0.3333333333333335,-1,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,1.0,-1.0,1.0,-0.75,-0.9999999999999999,-1.0,-1.0,0.5,-0.9999999999999999,0.33333333333333326,-0.25,1.0,0,0,0,0,0,0,0
